981 2445
570 535 396
181 637 618
169 837 852
72 616 495
159 900 415
336 17 78
409 14 385
810 880 123
359 562 685
625 93 660
332 234 829
879 831 966
642 141 500
505 646 649
27 124 879
609 624 246
908 717 109
794 820 730
974 935 304
21 915 287
737 721 218
530 451 166
451 34 978
452 641 491
912 307 495
87 114 546
370 590 596
850 904 365
781 674 225
917 914 228
145 238 522
711 854 127
193 73 624
977 779 244
308 353 45
550 880 263
85 369 464
910 124 640
604 922 530
706 321 653
201 655 481
527 674 87
246 534 300
637 9 431
626 312 307
534 714 249
284 506 581
839 790 510
791 942 32
859 914 67
751 432 426
471 700 878
686 457 482
424 862 918
423 772 718
595 509 872
323 861 106
45 739 116
180 367 289
77 181 974
709 125 965
148 950 331
439 952 69
81 769 959
114 837 391
179 365 255
433 41 467
220 679 307
490 756 819
455 478 686
201 607 977
168 313 864
188 633 875
944 834 528
84 148 938
246 724 446
545 233 455
563 933 698
318 942 321
503 539 376
686 483 635
220 144 265
540 138 588
266 769 534
294 583 227
376 68 13
485 69 660
69 72 173
844 859 716
327 205 695
736 136 240
755 784 713
452 313 875
181 493 252
739 612 718
796 150 29
16 690 704
378 974 432
535 772 372
97 319 430
707 447 462
762 818 613
830 625 262
113 165 198
103 935 89
803 502 72
760 834 967
494 243 420
358 104 83
201 205 516
975 39 273
140 571 193
819 668 575
575 725 229
151 67 754
